epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,623.684,0.44645,0.72525,0.21181,0.2998,0.85433,0.99986,1,0.995,0.9257,0.99232,0.99247,0.99408,0.95773,0.4154,0.34907,0.03962,0.25084,0.8275,0.0005348,0.0005348,0.0005348
39,640.26,0.43937,0.70767,0.21219,0.29682,0.85342,0.99988,1,0.995,0.95567,0.99235,0.99247,0.9942,0.97855,0.3551,0.26213,0.03328,0.22921,0.80894,0.0004952,0.0004952,0.0004952
40,656.706,0.42642,0.70578,0.22009,0.28949,0.85524,0.99989,1,0.995,0.94419,0.99424,0.99435,0.99479,0.97693,0.35932,0.26122,0.03428,0.23242,0.81254,0.0004556,0.0004556,0.0004556
41,673.61,0.3474,0.22865,0.04458,0.23463,0.80949,0.99986,1,0.995,0.94715,0.98668,0.98682,0.98666,0.96647,0.3502,0.2781,0.01435,0.2397,0.80956,0.000416,0.000416,0.000416
42,689.971,0.34294,0.2121,0.03555,0.23729,0.81072,0.99989,1,0.995,0.95426,0.99424,0.99435,0.99434,0.97976,0.33797,0.21922,0.01026,0.22828,0.80325,0.0003764,0.0003764,0.0003764
43,706.469,0.33797,0.19319,0.03047,0.23044,0.80995,0.99989,1,0.995,0.95385,0.99236,0.99247,0.99469,0.97636,0.32069,0.23976,0.00961,0.21674,0.79859,0.0003368,0.0003368,0.0003368
44,722.831,0.3291,0.175,0.03176,0.22257,0.80718,0.99988,1,0.995,0.96398,0.98859,0.9887,0.99124,0.97695,0.3217,0.26775,0.0085,0.21735,0.79922,0.0002972,0.0002972,0.0002972
45,739.289,0.31761,0.17918,0.02827,0.21827,0.80485,0.99988,1,0.995,0.96215,0.99236,0.99247,0.99487,0.98295,0.31636,0.21769,0.00754,0.21087,0.79629,0.0002576,0.0002576,0.0002576
46,755.665,0.30875,0.16239,0.02652,0.21312,0.79931,0.99989,1,0.995,0.9677,0.98859,0.9887,0.9927,0.9837,0.29966,0.25422,0.00737,0.20493,0.79387,0.000218,0.000218,0.000218
47,772.17,0.30467,0.14974,0.0214,0.20802,0.799,0.99989,1,0.995,0.97067,0.99235,0.99247,0.99483,0.98421,0.29688,0.21916,0.00655,0.20302,0.79292,0.0001784,0.0001784,0.0001784
48,788.542,0.29128,0.14828,0.02661,0.19961,0.79828,0.99988,1,0.995,0.96872,0.99423,0.99435,0.99473,0.98496,0.30124,0.21975,0.0062,0.20049,0.79483,0.0001388,0.0001388,0.0001388
49,804.91,0.2862,0.14045,0.02592,0.19916,0.80067,0.99989,1,0.995,0.97484,0.99047,0.99058,0.99477,0.98414,0.28967,0.21586,0.00625,0.19278,0.79175,9.92e-05,9.92e-05,9.92e-05
50,821.287,0.27788,0.13372,0.02506,0.19224,0.79612,0.99989,1,0.995,0.97329,0.99236,0.99247,0.99485,0.98458,0.28488,0.21355,0.00598,0.18875,0.79056,5.96e-05,5.96e-05,5.96e-05
